0	eng	Eywa	ɛj.wa	\N	prop.n.	Who's Eywa? Only their deity! Their goddess, made up of all living things. Everything they know! You'd know this if you had any training whatsoever.
1	eng	Tìlu	tɪ.lu	\N	prop.n.	nawma tute a lu ngopyu 'ipua aykeyeyä ahì'i
2	eng	mako si	ma.ko s·i	mako s<1><2><3>i	vin.	to construct a sentence in a difficult to read fashion
3	eng	nävi	ˈnæ.vi	\N	n.	a common or understandable mistake a beginner to the Na'vi language would make (plural: nävis)
4	de	'ampi	ˈʔ·am.p·i	'<1><2>amp<3>i	vtr.	berühren
4	eng	'ampi	ˈʔ·am.p·i	'<1><2>amp<3>i	vtr.	touch
4	est	'ampi	ˈʔ·am.p·i	'<1><2>amp<3>i	vtr.	katsuma, puutuma
4	hu	'ampi	ˈʔ·am.p·i	'<1><2>amp<3>i	vtr.	(meg)érint
4	nl	'ampi	ˈʔ·am.p·i	'<1><2>amp<3>i	vtr.	aanraken
4	pl	'ampi	ˈʔ·am.p·i	'<1><2>amp<3>i	vtr.	dotykać
4	ru	'ampi	ˈʔ·am.p·i	'<1><2>amp<3>i	vtr.	трогать
4	sv	'ampi	ˈʔ·am.p·i	'<1><2>amp<3>i	vtr.	beröra
8	de	'angtsìk	ˈʔaŋ.t͡sɪk̚	\N	n.	Hammerkopf
8	eng	'angtsìk	ˈʔaŋ.t͡sɪk̚	\N	n.	hammerhead
8	est	'angtsìk	ˈʔaŋ.t͡sɪk̚	\N	n.	Vasarpea (hammerhead)
8	hu	'angtsìk	ˈʔaŋ.t͡sɪk̚	\N	n.	kalapácsfejű növényevő (pandorai állatfaj)
8	nl	'angtsìk	ˈʔaŋ.t͡sɪk̚	\N	n.	hamerhoofd
8	pl	'angtsìk	ˈʔaŋ.t͡sɪk̚	\N	n.	Młotogłów
8	ru	'angtsìk	ˈʔaŋ.t͡sɪk̚	\N	n.	молотоглав (животное)
8	sv	'angtsìk	ˈʔaŋ.t͡sɪk̚	\N	n.	hammerhead, hammarhuvud
12	de	'aw	ʔaw	\N	num.	eins
12	eng	'aw	ʔaw	\N	num.	one
12	est	'aw	ʔaw	\N	num.	üks
12	hu	'aw	ʔaw	\N	num.	egy, 1
12	nl	'aw	ʔaw	\N	num.	één
12	pl	'aw	ʔaw	\N	num.	jeden
12	ru	'aw	ʔaw	\N	num.	один
12	sv	'aw	ʔaw	\N	num.	en, ett
20	de	'awkx	ʔawk'	\N	n.	Klippe, Kliff
20	eng	'awkx	ʔawk'	\N	n.	cliff
20	est	'awkx	ʔawk'	\N	n.	kalju, järsak
20	hu	'awkx	ʔawk'	\N	n.	szikla(szírt)
20	nl	'awkx	ʔawk'	\N	n.	rotswand
20	pl	'awkx	ʔawk'	\N	n.	ściana skalna, klif
20	ru	'awkx	ʔawk'	\N	n.	утёс
20	sv	'awkx	ʔawk'	\N	n.	klippa
24	de	'awpo	ˈʔaw.po	\N	pn.	eine/r (Einzelperson)
24	eng	'awpo	ˈʔaw.po	\N	pn.	one individual
24	est	'awpo	ˈʔaw.po	\N	pn.	keegi, üks isik
24	hu	'awpo	ˈʔaw.po	\N	pn.	egy személy (általános alany)
24	nl	'awpo	ˈʔaw.po	\N	pn.	één persoon
24	ru	'awpo	ˈʔaw.po	\N	pn.	одна персона
24	sv	'awpo	ˈʔaw.po	\N	pn.	en individ
28	de	'awsiteng	ʔaw.si.ˈtɛŋ	\N	adv.	zusammen, gemeinsam
28	eng	'awsiteng	ʔaw.si.ˈtɛŋ	\N	adv.	together
28	est	'awsiteng	ʔaw.si.ˈtɛŋ	\N	adv.	koos
28	hu	'awsiteng	ʔaw.si.ˈtɛŋ	\N	adv.	együtt, közösen
28	nl	'awsiteng	ʔaw.si.ˈtɛŋ	\N	adv.	samen
28	pl	'awsiteng	ʔaw.si.ˈtɛŋ	\N	adv.	razem, wspólnie
28	ru	'awsiteng	ʔaw.si.ˈtɛŋ	\N	adv.	вместе
28	sv	'awsiteng	ʔaw.si.ˈtɛŋ	\N	adv.	tillsammans
32	de	'awve	ˈʔaw.vɛ	\N	adj.	erste/r/s
32	eng	'awve	ˈʔaw.vɛ	\N	adj.	first (ordinal)
32	est	'awve	ˈʔaw.vɛ	\N	adj.	esimene
32	hu	'awve	ˈʔaw.vɛ	\N	adj.	első
32	nl	'awve	ˈʔaw.vɛ	\N	adj.	eerste (rangtelwoord)
32	pl	'awve	ˈʔaw.vɛ	\N	adj.	pierwszy
32	ru	'awve	ˈʔaw.vɛ	\N	adj.	первый
32	sv	'awve	ˈʔaw.vɛ	\N	adj.	först (ordningstal)
36	de	'e'al	ˈʔɛ.ʔal	\N	adj.	schlimmste/r/s, schlechteste/r/s
36	eng	'e'al	ˈʔɛ.ʔal	\N	adj.	worst
36	est	'e'al	ˈʔɛ.ʔal	\N	adj.	halvim
36	hu	'e'al	ˈʔɛ.ʔal	\N	adj.	legrosszabb
36	nl	'e'al	ˈʔɛ.ʔal	\N	adj.	slechtste
36	pl	'e'al	ˈʔɛ.ʔal	\N	adj.	najgorszy
36	ru	'e'al	ˈʔɛ.ʔal	\N	adj.	худший
36	sv	'e'al	ˈʔɛ.ʔal	\N	adj.	värst
44	de	'eko	ˈʔ·ɛ.k·o	'<1><2>ek<3>o	vtr.	attackieren, angreifen
44	eng	'eko	ˈʔ·ɛ.k·o	'<1><2>ek<3>o	vtr.	attack
44	est	'eko	ˈʔ·ɛ.k·o	'<1><2>ek<3>o	vtr.	ründama
44	hu	'eko	ˈʔ·ɛ.k·o	'<1><2>ek<3>o	vtr.	támad
44	nl	'eko	ˈʔ·ɛ.k·o	'<1><2>ek<3>o	vtr.	aanvallen
44	pl	'eko	ˈʔ·ɛ.k·o	'<1><2>ek<3>o	vtr.	atakować
44	ru	'eko	ˈʔ·ɛ.k·o	'<1><2>ek<3>o	vtr.	нападать, атаковать
44	sv	'eko	ˈʔ·ɛ.k·o	'<1><2>ek<3>o	vtr.	attackera, anfalla
48	de	'ekong	ˈʔɛ.koŋ	\N	n.	Schlag (rhythmisch)
48	eng	'ekong	ˈʔɛ.koŋ	\N	n.	beat (rhythmic)
48	est	'ekong	ˈʔɛ.koŋ	\N	n.	biit, löök (muusikas)
48	hu	'ekong	ˈʔɛ.koŋ	\N	n.	ritmus, ütem
48	nl	'ekong	ˈʔɛ.koŋ	\N	n.	ritme
48	pl	'ekong	ˈʔɛ.koŋ	\N	n.	uderzenie (rytmiczne)
48	ru	'ekong	ˈʔɛ.koŋ	\N	n.	ударный ритм
48	sv	'ekong	ˈʔɛ.koŋ	\N	n.	rytm, slag (rytmiskt)
52	de	'engeng	ˈʔɛŋ.ɛŋ	\N	adj.	eben, flach
52	eng	'engeng	ˈʔɛŋ.ɛŋ	\N	adj.	level
52	est	'engeng	ˈʔɛŋ.ɛŋ	\N	adj.	tase
52	hu	'engeng	ˈʔɛŋ.ɛŋ	\N	adj.	szint, emelet
52	nl	'engeng	ˈʔɛŋ.ɛŋ	\N	adj.	vlak
52	pl	'engeng	ˈʔɛŋ.ɛŋ	\N	adj.	równy
52	ru	'engeng	ˈʔɛŋ.ɛŋ	\N	adj.	уровень, этаж
52	sv	'engeng	ˈʔɛŋ.ɛŋ	\N	adj.	jämn
56	de	'eveng	ˈʔɛ.vɛŋ	\N	n.	Kind
56	eng	'eveng	ˈʔɛ.vɛŋ	\N	n.	child
56	est	'eveng	ˈʔɛ.vɛŋ	\N	n.	laps
56	hu	'eveng	ˈʔɛ.vɛŋ	\N	n.	gyermek
56	nl	'eveng	ˈʔɛ.vɛŋ	\N	n.	kind
56	pl	'eveng	ˈʔɛ.vɛŋ	\N	n.	dziecko
56	ru	'eveng	ˈʔɛ.vɛŋ	\N	n.	ребёнок
56	sv	'eveng	ˈʔɛ.vɛŋ	\N	n.	barn
60	de	'evi	ˈʔɛ.vi	\N	n.	Kind, Kindchen, Kindlein (affectionate form of)
60	eng	'evi	ˈʔɛ.vi	\N	n.	kid (affectionate form of)
60	est	'evi	ˈʔɛ.vi	\N	n.	lapseke (affectionate form of)
60	hu	'evi	ˈʔɛ.vi	\N	n.	gyerkő(c) (affectionate form of)
60	nl	'evi	ˈʔɛ.vi	\N	n.	kindje (affectionate form of)
60	pl	'evi	ˈʔɛ.vi	\N	n.	dzieciątko (affectionate form of)
60	ru	'evi	ˈʔɛ.vi	\N	n.	дитя (affectionate form of)
60	sv	'evi	ˈʔɛ.vi	\N	n.	unge (affectionate form of)
64	de	'ewan	ˈʔɛ.wan	\N	adj.	jung
64	eng	'ewan	ˈʔɛ.wan	\N	adj.	young
64	est	'ewan	ˈʔɛ.wan	\N	adj.	noor
64	hu	'ewan	ˈʔɛ.wan	\N	adj.	fiatal
64	nl	'ewan	ˈʔɛ.wan	\N	adj.	jong
64	pl	'ewan	ˈʔɛ.wan	\N	adj.	młody
64	ru	'ewan	ˈʔɛ.wan	\N	adj.	молодой
64	sv	'ewan	ˈʔɛ.wan	\N	adj.	ung
68	de	'eylan	ˈʔɛj.lan	\N	n.	Freund (geschlechtslos)
68	eng	'eylan	ˈʔɛj.lan	\N	n.	friend
68	est	'eylan	ˈʔɛj.lan	\N	n.	sõber
68	hu	'eylan	ˈʔɛj.lan	\N	n.	barát
68	nl	'eylan	ˈʔɛj.lan	\N	n.	vriend
68	pl	'eylan	ˈʔɛj.lan	\N	n.	przyjaciel
68	ru	'eylan	ˈʔɛj.lan	\N	n.	друг
68	sv	'eylan	ˈʔɛj.lan	\N	n.	vän
76	de	'ì'awn	ʔ·ɪ.ˈʔ·awn	'<1><2>ì'<3>awn	vin.	bleiben, verbleiben, verweilen
76	eng	'ì'awn	ʔ·ɪ.ˈʔ·awn	'<1><2>ì'<3>awn	vin.	remain, stay
76	est	'ì'awn	ʔ·ɪ.ˈʔ·awn	'<1><2>ì'<3>awn	vin.	jääma, püsima
76	hu	'ì'awn	ʔ·ɪ.ˈʔ·awn	'<1><2>ì'<3>awn	vin.	marad
76	nl	'ì'awn	ʔ·ɪ.ˈʔ·awn	'<1><2>ì'<3>awn	vin.	blijven
76	pl	'ì'awn	ʔ·ɪ.ˈʔ·awn	'<1><2>ì'<3>awn	vin.	zostać, pozostać
76	ru	'ì'awn	ʔ·ɪ.ˈʔ·awn	'<1><2>ì'<3>awn	vin.	оставаться, сохранять состояние
76	sv	'ì'awn	ʔ·ɪ.ˈʔ·awn	'<1><2>ì'<3>awn	vin.	stanna, bli kvar
80	de	'ìheyu	ʔɪ.ˈhɛ.ju	\N	n.	Spirale, Wendel
80	eng	'ìheyu	ʔɪ.ˈhɛ.ju	\N	n.	spiral
80	est	'ìheyu	ʔɪ.ˈhɛ.ju	\N	n.	spiraal
80	hu	'ìheyu	ʔɪ.ˈhɛ.ju	\N	n.	spirál
80	nl	'ìheyu	ʔɪ.ˈhɛ.ju	\N	n.	spiraal
80	pl	'ìheyu	ʔɪ.ˈhɛ.ju	\N	n.	spirala
